,,,,,,,,
Field Number,Field Name,ANSI Standard Data Type,SQL Server Data Type,Precision,Scale,Length,Empty Values,Definition
1,SA_PROPERTY_ID,integer,int,10,0,12,No,Unique DataQuick primary key identifier assigned to a property.
2,SA_SCM_ID,integer,int,10,0,12,No,Internal identification number assigned to every jurisdiction
3,MM_STATE_CODE,character varying,varchar,2,n/a,2,No,The postal standard abbreviation for the state.  
4,MM_MUNI_NAME,character varying,varchar,24,n/a,24,No,The full name of the jurisdiction.  
5,MM_FIPS_STATE_CODE,No Equivalent,tinyint,3,0,5,No,Federal Information Processing Standards (FIPS) code for the state.  
6,MM_FIPS_MUNI_CODE,smallint,smallint,5,0,7,No,Federal Information Processing Standards (FIPS) code for the county.  
7,MM_FIPS_COUNTY_NAME,character varying,varchar,35,n/a,35,No,The county name associated with the Federal Information Processing Standards (FIPS) county code.  
8,SA_PARCEL_NBR_PRIMARY,character varying,varchar,35,n/a,35,Yes,"The primary jurisdictional identifier for a property. Where multiple identifiers are available from the jurisdiction, the SA_PARCEL_NBR_PRIMARY is the preferred and/or most easily searchable per the asssessor's office. For counties where recorder's data is available, an effort is made to have the SA_PARCEL_NBR_PRIMARY be the same identifier as is commonly found on the documents."
9,SA_PARCEL_NBR_REFERENCE,character varying,varchar,35,n/a,35,Yes,"In addition to the primary parcel, another identifier recognized by the jurisdiction as a means to refer to a property. This number may not be unique."
10,SA_PARCEL_ACCOUNT_NBR,character varying,varchar,35,n/a,35,Yes,"An internal jurisdiction identifier used to identify a property. This number is often associated with the owner of record as opposed to a parcel of land. In cases where the account number refers to ownership, the value changes often and is not best qualified to identify a property long term."
11,SA_PARCEL_NBR_ALT,character varying,varchar,35,n/a,35,Yes,"In addition to the primary parcel number, an alternate property identifier. The SA_PARCEL_NBR_ALT is recognizable by the jurisdiction, but not necessarily unique."
12,SA_PARCEL_NBR_PREVIOUS,character varying,varchar,35,n/a,35,Yes,Stores the previous SA_PARCEL_NBR_PRIMARY after a parcel number conversion occurs.
13,SA_PARCEL_NBR_CHANGE_YR,smallint,smallint,5,0,7,Yes,Indicates the year in which the most recent parcel conversion took place.
14,SA_YR_APN_ADDED,smallint,smallint,5,0,7,Yes,Vendor provided year indicating when the APN was added
15,SA_OWNER_1,character varying,varchar,50,n/a,50,Yes,The full unparsed primary owner's name.  The primary owner is the individual or entity who holds the most interest in a property. Married couples are considered one entity.
16,SA_OWNER_1_FIRST,character varying,varchar,50,n/a,50,Yes,The first name of the primary owner of the property
17,SA_OWNER_1_MID,character varying,varchar,20,n/a,20,Yes,The middle name of the primary owner of a property
18,SA_OWNER_1_LAST,character varying,varchar,50,n/a,50,Yes,The primary owner's last name.  If the primary owner is a company the company name will be present in this field and SA_OWNER_1_FIRST will be blank.
19,SA_OWNER_1_SUF,character varying,varchar,5,n/a,5,Yes,"The suffix associated with the primary owner of the property (Jr. III, etc)."
20,SA_OWNER_1_SP_FIRST,character varying,varchar,20,n/a,20,Yes,The first name of the primary property owner's spouse
21,SA_OWNER_1_SP_MID,character varying,varchar,20,n/a,20,Yes,The middle name of the primary property owner's spouse
